"";"V1"
"Accuracy";0,587677725118483
"Kappa";0,535726831022922
"AccuracyLower";0,548205392408498
"AccuracyUpper";0,62632848751633
"AccuracyNull";0,200631911532385
"AccuracyPValue";1,01090862730515e-100
"McnemarPValue";NA
