Kategori;Antall obs.
Blæretang;139
Brunalger;230
Busker;219
Gress;156
Grønnalger;385
Lav;152
Lyng;170
Oransje lav;95
Rødalger;45
Sand;464
Stein;519
Strandsiv;107
Tak;73
Tangvoll;90
Totalt;2844
