Category;Kategori
Rock;Stein
Heather;Lyng
Grass;Gress
Shrubs;Busker
Sand;Sand
Brown algae;Brunalger
Green algae;Grønnalger
Lichen;Lav
Roof;Tak
Marram grass;Strandsiv
Tangvoll;Tangvoll
Orange lichen;Oransje lav
Fucus vesiculosus;Blæretang
Fucus serratus ;Sagtang
Red algae;Rødalge
Bladder wrack;Blæretang
