"Category","blue","green","nir","rededge","red","Dataset","Level","Predcat"
"Heather",0.0473731867969036,0.0640270486474037,0.24494956433773,0.160388544201851,0.0806021243333817,"Man",NA,"Heather"
"Heather",0.0848665907979012,0.132184088230133,0.278483390808105,0.193432942032814,0.127519845962524,"Man",NA,"Rock"
"Grass",0.0388863943517208,0.087859220802784,0.433657288551331,0.226193442940712,0.0738066509366035,"Man",NA,"Grass"
"Grass",0.0364656932651997,0.0812203511595726,0.425780087709427,0.215266495943069,0.0636223256587982,"Man",NA,"Grass"
"Shrubs",0.0307819340378046,0.0495758838951588,0.18633796274662,0.107084885239601,0.0470722280442715,"Man",NA,"Heather"
"Shrubs",0.0190175417810678,0.0394762828946114,0.238540098071098,0.0955949649214745,0.0186095871031284,"Man",NA,"Shrubs"
"Shrubs",0.0231260769069195,0.0468169264495373,0.257727473974228,0.10123186558485,0.0228718835860491,"Man",NA,"Green algae"
"Shrubs",0.0240059997886419,0.0362561456859112,0.120157301425934,0.0610396713018417,0.0311743132770061,"Man",NA,"Green algae"
"Sand",0.0130661055445671,0.0160113386809826,0.00553547637537122,0.00706013664603233,0.00962796527892351,"Man",NA,"Fucus serratus "
"Heather",0.0258071254938841,0.0604579448699951,0.332281589508057,0.163883045315742,0.0385844148695469,"Man",NA,"Shrubs"
"Sand",0.0589377023279667,0.0707590356469154,0.176770642399788,0.110862091183662,0.0814322009682655,"Man",NA,"Tangvoll"
"Rock",0.0472530499100685,0.0957716107368469,0.393213868141174,0.237977907061577,0.0717480853199959,"Man",NA,"Rock"
"Rock",0.0750129744410515,0.10989560931921,0.322923392057419,0.201681151986122,0.110180608928204,"Man",NA,"Rock"
"Heather",0.0384074188768864,0.0554695688188076,0.190249174833298,0.102114371955395,0.0490373633801937,"Man",NA,"Green algae"
"Brown algae",0.0137891201302409,0.0156105253845453,0.0281417444348335,0.0479048863053322,0.0116138225421309,"Man",NA,"Brown algae"
"Brown algae",0.0180818736553192,0.0213525556027889,0.0396423749625683,0.055758960545063,0.0164119806140661,"Man",NA,"Brown algae"
"Brown algae",0.0176443364471197,0.0219548586755991,0.0430554784834385,0.058969609439373,0.0153976315632463,"Man",NA,"Brown algae"
"Brown algae",0.0232270266860723,0.0228077787905931,0.0393862016499043,0.0579720959067345,0.0220091585069895,"Man",NA,"Brown algae"
"Brown algae",0.0231125131249428,0.0234012957662344,0.0399832911789417,0.0620061196386814,0.0216112434864044,"Man",NA,"Brown algae"
"Rock",0.0897977203130722,0.123844645917416,0.144011199474335,0.120592474937439,0.10776998847723,"Man",NA,"Sand"
"Rock",0.152728915214539,0.181585565209389,0.210540249943733,0.197088152170181,0.168293863534927,"Man",NA,"Rock"
"Rock",0.0874543562531471,0.112879551947117,0.172699332237244,0.150772750377655,0.126655757427216,"Man",NA,"Rock"
"Rock",0.0389177836477757,0.105075426399708,0.455519944429398,0.262759506702423,0.0679432824254036,"Man",NA,"Grass"
"Green algae",0.130230665206909,0.197480320930481,0.31446236371994,0.290596634149551,0.125887647271156,"Man",NA,"Green algae"
"Rock",0.136250585317612,0.230823740363121,0.287681847810745,0.303893864154816,0.284331828355789,"Man",NA,"Orange lichen"
"Shrubs",0.0399607755243778,0.0902799814939499,0.383764773607254,0.218156263232231,0.0667954832315445,"Man",NA,"Grass"
"Green algae",0.110949508845806,0.151278764009476,0.274669796228409,0.232855156064034,0.135499343276024,"Man",NA,"Green algae"
"Rock",0.130650594830513,0.146520912647247,0.164231687784195,0.148573994636536,0.140164524316788,"Man",NA,"Sand"
"Rock",0.156060665845871,0.18463696539402,0.239124715328217,0.214569717645645,0.188670054078102,"Man",NA,"Rock"
"Green algae",0.0511059463024139,0.0845252424478531,0.170057535171509,0.112982645630836,0.0791809409856796,"Man",NA,"Green algae"
