"Category","blue","green","nir","red","rededge"
"Fucus vesiculosus",0.0479329191148281,0.0689229145646095,0.168269619345665,0.0467217490077019,0.177625998854637
"Fucus vesiculosus",0.0494176670908928,0.0708176493644714,0.163384929299355,0.0475246831774712,0.176034063100815
"Fucus vesiculosus",0.0490544475615025,0.0677213743329048,0.150533929467201,0.049620121717453,0.166287884116173
"Fucus vesiculosus",0.048980824649334,0.0732995942234993,0.159713983535767,0.0484417527914047,0.18998821079731
"Fucus vesiculosus",0.0499279238283634,0.0697729513049126,0.153027519583702,0.0488066524267197,0.186028748750687
"Rock",0.0491448119282722,0.2157361805439,0.491497874259949,0.213900431990623,0.459579706192017
"Rock",0.0504618659615517,0.21255424618721,0.479030549526215,0.211878284811974,0.460401952266693
"Rock",0.0519014969468117,0.213777959346771,0.47962811589241,0.209069103002548,0.47245317697525
"Rock",0.0529020689427853,0.213630229234695,0.461398273706436,0.210263028740883,0.417715460062027
"Rock",0.0615561679005623,0.098041370511055,0.215354010462761,0.184319823980331,0.227233618497849
"Rock",0.062968872487545,0.100182346999645,0.211643934249878,0.188472345471382,0.228016525506973
"Rock",0.0634475871920586,0.103100292384624,0.223026856780052,0.186264708638191,0.228630304336548
"Rock",0.0642604306340218,0.105599202215672,0.217959716916084,0.186537265777588,0.232868701219559
"Brown algae",0.0273607559502125,0.0326781459152699,0.229031920433044,0.044693186879158,0.097631648182869
"Brown algae",0.0279883518815041,0.0349367260932922,0.221942588686943,0.0500717051327229,0.0935861170291901
"Brown algae",0.0277167465537786,0.032667700201273,0.236674189567566,0.0494952835142612,0.099544569849968
"Brown algae",0.0282978173345327,0.0343826375901699,0.244556590914726,0.0500620566308498,0.105644688010216
"Brown algae",0.0278438273817301,0.0362306088209152,0.232181459665298,0.0509219281375408,0.101050652563572
"Brown algae",0.0278718937188387,0.0338707640767097,0.246394574642181,0.0487753078341484,0.103430651128292
"Brown algae",0.0284341592341661,0.0306751765310764,0.113678991794586,0.0418574661016464,0.0599718987941742
"Brown algae",0.0295967627316713,0.034363429993391,0.123620018362999,0.0473228096961975,0.0677762031555176
"Brown algae",0.0265705361962318,0.0293909143656492,0.112517192959785,0.0407050624489784,0.0573023706674576
"Brown algae",0.0290053896605968,0.0343396216630936,0.113761156797409,0.044767789542675,0.0625717118382454
"Brown algae",0.0341050922870636,0.038901574909687,0.127392128109932,0.0531395934522152,0.0751001462340355
"Brown algae",0.0279437582939863,0.0304602738469839,0.113668605685234,0.0431448556482792,0.062380027025938
"Brown algae",0.0273572336882353,0.032270610332489,0.223973050713539,0.0514199398458004,0.10039571672678
"Brown algae",0.0301773119717836,0.0371623747050762,0.2324298620224,0.0577351711690426,0.102340318262577
"Brown algae",0.0293466206640005,0.0354100614786148,0.232198551297188,0.0556644424796104,0.104626320302486
"Brown algae",0.0279004126787186,0.0335899107158184,0.228044047951698,0.0523453280329704,0.0986028090119362
"Brown algae",0.030629588291049,0.0377971567213535,0.235999226570129,0.0581867210566998,0.105009064078331
"Brown algae",0.0279615446925163,0.0358018428087234,0.222547188401222,0.0539352968335152,0.0982176586985588
"Rock",0.0451115295290947,0.19817490875721,0.441689729690552,0.192647531628609,0.387358337640762
"Rock",0.0405322909355164,0.198597714304924,0.46066078543663,0.188125982880592,0.41199141740799
"Rock",0.0444677174091339,0.193560019135475,0.403740733861923,0.175363913178444,0.341993927955627
"Rock",0.0419067926704884,0.198231846094131,0.432304888963699,0.171664193272591,0.363438099622726
"Fucus vesiculosus",0.0459006279706955,0.0636330991983414,0.201967120170593,0.0475635640323162,0.163155898451805
"Fucus vesiculosus",0.0456218644976616,0.0646058917045593,0.223465844988823,0.0481468364596367,0.175166711211205
"Fucus vesiculosus",0.046239223331213,0.0621533282101154,0.18990695476532,0.0487636104226112,0.164103820919991
"Fucus vesiculosus",0.0453467518091202,0.0630073100328445,0.214401066303253,0.0497126206755638,0.175075843930244
"Rock",0.0371313467621803,0.195886254310608,0.492247879505157,0.151815056800842,0.414123058319092
"Rock",0.0408100113272667,0.19109234213829,0.475420117378235,0.152857273817062,0.395400315523148
"Rock",0.0409226082265377,0.194590821862221,0.485846161842346,0.147604122757912,0.393476754426956
"Rock",0.0421998836100101,0.190403416752815,0.477812558412552,0.145145297050476,0.388855993747711
"Rock",0.0439596883952618,0.187623336911201,0.47539409995079,0.147015124559402,0.387045562267303
"Rock",0.0361274182796478,0.193373128771782,0.453174471855164,0.167832225561142,0.385467648506165
"Rock",0.037082951515913,0.186512216925621,0.446034491062164,0.16550387442112,0.368843078613281
"Rock",0.0345207415521145,0.191816002130508,0.464473456144333,0.167756408452988,0.386895954608917
"Rock",0.0365127995610237,0.192071199417114,0.458752244710922,0.174030795693398,0.373335957527161
"Rock",0.0382512807846069,0.180502265691757,0.42802956700325,0.167786374688148,0.365258604288101
"Heather",0.0320532433688641,0.0627565085887909,0.265180319547653,0.0612257830798626,0.179280146956444
"Heather",0.0344249941408634,0.0564720630645752,0.278004288673401,0.0690666288137436,0.181628197431564
"Heather",0.0355274900794029,0.0612324327230453,0.278560370206833,0.0640301108360291,0.187306463718414
"Heather",0.0437039062380791,0.0841657072305679,0.281666696071625,0.067780539393425,0.20710626244545
"Heather",0.0409825295209885,0.0656485632061958,0.272470057010651,0.070154070854187,0.188497439026833
"Heather",0.033555656671524,0.0490726716816425,0.294981777667999,0.0671889781951904,0.180701419711113
"Heather",0.0346661135554314,0.0504999160766602,0.311134189367294,0.0695382431149483,0.196856200695038
"Heather",0.0368217602372169,0.0524765029549599,0.320540845394135,0.0730844885110855,0.197380498051643
"Heather",0.040157575160265,0.0586729720234871,0.313217967748642,0.0793843865394592,0.199311807751656
"Heather",0.0346551388502121,0.0527719520032406,0.327804535627365,0.0731458216905594,0.197804421186447
"Rock",0.107623875141144,0.149527013301849,0.258284360170364,0.252350598573685,0.279823362827301
"Rock",0.101276278495789,0.142839267849922,0.247856140136719,0.231956988573074,0.263857573270798
"Rock",0.107944779098034,0.149700567126274,0.253328442573547,0.251785069704056,0.285862892866135
"Rock",0.103778459131718,0.144227176904678,0.254366040229797,0.247054144740105,0.273382306098938
"Fucus vesiculosus",0.0559300370514393,0.0737875774502754,0.144714742898941,0.0594668537378311,0.147499337792397
"Fucus vesiculosus",0.0559978522360325,0.0691841021180153,0.138219907879829,0.0571253336966038,0.138160079717636
"Fucus vesiculosus",0.0537689216434956,0.0703574120998383,0.154520690441132,0.0613460913300514,0.147629410028458
"Fucus vesiculosus",0.0553490184247494,0.0668475478887558,0.136435568332672,0.0578421764075756,0.137184411287308
