"","ID","type","WP..RTK.GPS.","latitude","longitude","Atltitude..m.","date..GPS.","time..GPS.","Environ","Sp01","Sp02","Sp03","Sp04","Sp04_la","bolaerne.blue","bolaerne.green.","bolaerne.nir","bolaerne.red.","bolaerne.red.edge"
"1",54,"RTK",NA,59.19577195,10.57609257,-0.194,"28/08/2019","16:29:51","below water","veg","seaweed","brown algae","bladder wrack","fucus vesiculosus",0.0494176670908928,0.0708176493644714,0.163384929299355,0.0475246831774712,0.176034063100815
"2",55,"RTK",NA,59.19596998,10.57648974,1.202,"28/08/2019","16:31:28","terrestrial ","no veg","rock","rock","rock","rock",0.0519014969468117,0.213777959346771,0.47962811589241,0.209069103002548,0.47245317697525
"3",56,"RTK",NA,59.19583767,10.5762081,0.824,"28/08/2019","16:34:02","terrestrial ","no veg","rock","rock","rock","rock",0.062968872487545,0.100182346999645,0.211643934249878,0.188472345471382,0.228016525506973
"4",57,"RTK",NA,59.19601177,10.57663271,0.826,"28/08/2019","16:37:05","above water","veg","seaweed","brown algae","brown algae","brown algae",0.0277167465537786,0.032667700201273,0.236674189567566,0.0494952835142612,0.099544569849968
"5",58,"RTK",NA,59.19604963,10.57660634,1.195,"28/08/2019","16:37:39","above water","veg","seaweed","brown algae","brown algae","brown algae",0.0290053896605968,0.0343396216630936,0.113761156797409,0.044767789542675,0.0625717118382454
"6",59,"RTK",NA,59.19615832,10.57692788,0.613,"28/08/2019","16:38:35","above water","veg","seaweed","brown algae","brown algae","brown algae",0.0293466206640005,0.0354100614786148,0.232198551297188,0.0556644424796104,0.104626320302486
"7",60,"RTK",NA,59.19661624,10.57737974,1.194,"28/08/2019","16:40:46","terrestrial ","no veg","rock","rock","rock","rock",0.0405322909355164,0.198597714304924,0.46066078543663,0.188125982880592,0.41199141740799
"8",61,"RTK",NA,59.19667515,10.57768028,-0.408,"28/08/2019","16:42:51","below water","veg","seaweed","brown algae","bladder wrack","fucus vesiculosus",0.046239223331213,0.0621533282101154,0.18990695476532,0.0487636104226112,0.164103820919991
"9",62,"RTK",NA,59.19710864,10.57794224,2.804,"28/08/2019","16:45:44","terrestrial ","no veg","rock","rock","rock","rock",0.0421998836100101,0.190403416752815,0.477812558412552,0.145145297050476,0.388855993747711
"10",63,"RTK",NA,59.19713993,10.57796047,2.719,"28/08/2019","16:46:26","terrestrial ","no veg","rock","rock","rock","rock",0.0365127995610237,0.192071199417114,0.458752244710922,0.174030795693398,0.373335957527161
"11",64,"RTK",NA,59.196905,10.57746924,3.803,"28/08/2019","16:49:49","terrestrial ","veg","Heather","Heather","Heather","Heather",0.0355274900794029,0.0612324327230453,0.278560370206833,0.0640301108360291,0.187306463718414
"12",65,"RTK",NA,59.19683784,10.57722923,4.97,"28/08/2019","16:51:03","terrestrial ","veg","Heather","Heather","Heather","Heather",0.0368217602372169,0.0524765029549599,0.320540845394135,0.0730844885110855,0.197380498051643
"13",66,"RTK",NA,59.1963841,10.57713215,1.018,"28/08/2019","16:53:22","terrestrial ","no veg","rock","rock","rock","rock",0.103778459131718,0.144227176904678,0.254366040229797,0.247054144740105,0.273382306098938
"14",67,"RTK",NA,59.19609575,10.57576272,-0.313,"28/08/2019","16:57:37","below water","veg","seaweed","brown algae","bladder wrack","fucus vesiculosus",0.0553490184247494,0.0668475478887558,0.136435568332672,0.0578421764075756,0.137184411287308
"15",68,"RTK",NA,59.19623802,10.57565552,-0.187,"28/08/2019","16:58:58","below water","veg","seaweed","brown algae","bladder wrack","fucus vesiculosus",0.0537567101418972,0.0755510404706001,0.17662850022316,0.0534491948783398,0.183995261788368
"16",69,"RTK",NA,59.19672652,10.57516876,-0.237,"28/08/2019","17:01:48","below water","veg","seaweed","brown algae","bladder wrack","fucus vesiculosus",0.0517245903611183,0.0781698003411293,0.147927090525627,0.054172795265913,0.178467407822609
"17",70,"RTK",NA,59.19693451,10.57513162,0.454,"28/08/2019","17:03:29","above water","veg","seaweed","brown algae","brown algae","brown algae",0.0341681875288486,0.0432772152125835,0.299681395292282,0.0795038864016533,0.152558729052544
"18",71,"RTK",NA,59.19802723,10.57415997,0.1,"28/08/2019","17:09:18","above water","no veg","sand","sand","sand","sand",0.0761607959866524,0.105663895606995,0.148058116436005,0.12150115519762,0.127776831388474
"19",72,"RTK",NA,59.1980985,10.57314425,0.431,"28/08/2019","17:13:30","above water","veg","seaweed","brown algae","brown algae","brown algae",0.0292732864618301,0.0375190041959286,0.213788270950317,0.0516981519758701,0.0960432067513466
"20",73,"RTK",NA,59.19754267,10.57240265,0.512,"28/08/2019","17:35:55","","","","-","-","-",0.0679947957396507,0.126479789614677,0.386510759592056,0.0913995131850243,0.228968724608421
"21",74,"RTK",NA,59.19754257,10.57240145,0.512,"28/08/2019","17:36:21","terrestrial ","veg","marram grass","marram grass","marram grass","marram grass",0.0679947957396507,0.126479789614677,0.386510759592056,0.0913995131850243,0.228968724608421
"22",75,"RTK",NA,59.19748092,10.57234004,0.803,"28/08/2019","17:37:11","terrestrial ","veg","marram grass","marram grass","marram grass","marram grass",0.0747560486197472,0.128131285309792,0.460711866617203,0.0788913071155548,0.232672154903412
"23",76,"RTK",NA,59.19718149,10.57220622,0.865,"28/08/2019","17:38:37","below water","no veg ","rock","rock","rock","rock",0.0472641922533512,0.224048808217049,0.520727097988129,0.211858332157135,0.455612063407898
"24",77,"RTK",NA,59.19697362,10.57226566,-0.194,"28/08/2019","17:40:16","below water","veg","seaweed","brown algae","bladder wrack","fucus vesiculosus",0.0528008416295052,0.0705910176038742,0.148193195462227,0.0565709136426449,0.150783866643906
"25",78,"RTK",NA,59.19690047,10.57219926,-0.183,"28/08/2019","17:41:10","below water","veg","seaweed","brown algae","bladder wrack","fucus vesiculosus",0.0530812591314316,0.088701494038105,0.251115590333939,0.0587469898164272,0.237104073166847
"26",79,"RTK",NA,59.19688821,10.57218414,-0.176,"28/08/2019","17:41:49","below water","veg","seaweed","brown algae","bladder wrack","fucus vesiculosus",0.0547603704035282,0.0823474228382111,0.189020752906799,0.0554929301142693,0.191641211509705
"27",80,"RTK",NA,59.19679094,10.57210408,-0.391,"28/08/2019","17:42:56","below water","veg","seaweed","rock","bladder wrack","fucus vesiculosus",0.0484854280948639,0.0719256848096848,0.204503878951073,0.0488783456385136,0.200490340590477
"28",81,"RTK",NA,59.19681434,10.57195939,1.12,"28/08/2019","17:44:05","terrestrial ","no veg ","rock","rock","rock","rock",0.0490189716219902,0.220487967133522,0.558093428611755,0.178288698196411,0.243758380413055
"29",82,"RTK",NA,59.19656631,10.5719321,-0.246,"28/08/2019","17:45:51","below water","veg","seaweed","Green algae","Green algae","Green algae",0.0918969213962555,0.13296040892601,0.132041126489639,0.131595119833946,0.168551117181778
"30",83,"RTK",NA,59.19713594,10.5714139,-0.168,"28/08/2019","17:49:16","below water","veg","seaweed","Green algae","Green algae","Green algae",0.0516690872609615,0.0886731222271919,0.148894846439362,0.0594063587486744,0.151298716664314
"31",84,"RTK",NA,59.19729607,10.57132887,-0.371,"28/08/2019","17:57:03","below water","veg","seaweed","brown algae","Ascophyllum ","Ascophyllum ",0.0507071539759636,0.0643584579229355,0.154780030250549,0.0541449934244156,0.144809767603874
"32",85,"RTK",NA,59.19761369,10.57114052,-0.266,"28/08/2019","17:59:55","below water","veg","seaweed","brown algae","Ascophyllum ","Ascophyllum ",0.0469825342297554,0.0746946483850479,0.267448425292969,0.0464251525700092,0.191231518983841
