"X","ID","type","WP..RTK.GPS.","latitude","longitude","Atltitude..m.","date..GPS.","time..GPS.","Environ","Sp01","Sp02","Sp03","Sp04","Sp04_la","bolaerne.blue","bolaerne.green.","bolaerne.nir","bolaerne.red.","bolaerne.red.edge","IDpoint",".id","blue","green","nir","red","rededge","V1"
4,57,"RTK",NA,59.19601177,10.57663271,0.826,"28/08/2019","16:37:05","above water","veg","seaweed","brown algae","brown algae","brown algae",0.0277167465537786,0.032667700201273,0.236674189567566,0.0494952835142612,0.099544569849968,4,4,0.0273607559502125,0.0326781459152699,0.229031920433044,0.044693186879158,0.097631648182869,NA
4,57,"RTK",NA,59.19601177,10.57663271,0.826,"28/08/2019","16:37:05","above water","veg","seaweed","brown algae","brown algae","brown algae",0.0277167465537786,0.032667700201273,0.236674189567566,0.0494952835142612,0.099544569849968,4,4,0.0279883518815041,0.0349367260932922,0.221942588686943,0.0500717051327229,0.0935861170291901,NA
4,57,"RTK",NA,59.19601177,10.57663271,0.826,"28/08/2019","16:37:05","above water","veg","seaweed","brown algae","brown algae","brown algae",0.0277167465537786,0.032667700201273,0.236674189567566,0.0494952835142612,0.099544569849968,4,4,0.0277167465537786,0.032667700201273,0.236674189567566,0.0494952835142612,0.099544569849968,NA
4,57,"RTK",NA,59.19601177,10.57663271,0.826,"28/08/2019","16:37:05","above water","veg","seaweed","brown algae","brown algae","brown algae",0.0277167465537786,0.032667700201273,0.236674189567566,0.0494952835142612,0.099544569849968,4,4,0.0282978173345327,0.0343826375901699,0.244556590914726,0.0500620566308498,0.105644688010216,NA
4,57,"RTK",NA,59.19601177,10.57663271,0.826,"28/08/2019","16:37:05","above water","veg","seaweed","brown algae","brown algae","brown algae",0.0277167465537786,0.032667700201273,0.236674189567566,0.0494952835142612,0.099544569849968,4,4,0.0278438273817301,0.0362306088209152,0.232181459665298,0.0509219281375408,0.101050652563572,NA
4,57,"RTK",NA,59.19601177,10.57663271,0.826,"28/08/2019","16:37:05","above water","veg","seaweed","brown algae","brown algae","brown algae",0.0277167465537786,0.032667700201273,0.236674189567566,0.0494952835142612,0.099544569849968,4,4,0.0278718937188387,0.0338707640767097,0.246394574642181,0.0487753078341484,0.103430651128292,NA
5,58,"RTK",NA,59.19604963,10.57660634,1.195,"28/08/2019","16:37:39","above water","veg","seaweed","brown algae","brown algae","brown algae",0.0290053896605968,0.0343396216630936,0.113761156797409,0.044767789542675,0.0625717118382454,5,5,0.0284341592341661,0.0306751765310764,0.113678991794586,0.0418574661016464,0.0599718987941742,NA
5,58,"RTK",NA,59.19604963,10.57660634,1.195,"28/08/2019","16:37:39","above water","veg","seaweed","brown algae","brown algae","brown algae",0.0290053896605968,0.0343396216630936,0.113761156797409,0.044767789542675,0.0625717118382454,5,5,0.0295967627316713,0.034363429993391,0.123620018362999,0.0473228096961975,0.0677762031555176,NA
5,58,"RTK",NA,59.19604963,10.57660634,1.195,"28/08/2019","16:37:39","above water","veg","seaweed","brown algae","brown algae","brown algae",0.0290053896605968,0.0343396216630936,0.113761156797409,0.044767789542675,0.0625717118382454,5,5,0.0265705361962318,0.0293909143656492,0.112517192959785,0.0407050624489784,0.0573023706674576,NA
5,58,"RTK",NA,59.19604963,10.57660634,1.195,"28/08/2019","16:37:39","above water","veg","seaweed","brown algae","brown algae","brown algae",0.0290053896605968,0.0343396216630936,0.113761156797409,0.044767789542675,0.0625717118382454,5,5,0.0290053896605968,0.0343396216630936,0.113761156797409,0.044767789542675,0.0625717118382454,NA
5,58,"RTK",NA,59.19604963,10.57660634,1.195,"28/08/2019","16:37:39","above water","veg","seaweed","brown algae","brown algae","brown algae",0.0290053896605968,0.0343396216630936,0.113761156797409,0.044767789542675,0.0625717118382454,5,5,0.0341050922870636,0.038901574909687,0.127392128109932,0.0531395934522152,0.0751001462340355,NA
5,58,"RTK",NA,59.19604963,10.57660634,1.195,"28/08/2019","16:37:39","above water","veg","seaweed","brown algae","brown algae","brown algae",0.0290053896605968,0.0343396216630936,0.113761156797409,0.044767789542675,0.0625717118382454,5,5,0.0279437582939863,0.0304602738469839,0.113668605685234,0.0431448556482792,0.062380027025938,NA
6,59,"RTK",NA,59.19615832,10.57692788,0.613,"28/08/2019","16:38:35","above water","veg","seaweed","brown algae","brown algae","brown algae",0.0293466206640005,0.0354100614786148,0.232198551297188,0.0556644424796104,0.104626320302486,6,6,0.0273572336882353,0.032270610332489,0.223973050713539,0.0514199398458004,0.10039571672678,NA
6,59,"RTK",NA,59.19615832,10.57692788,0.613,"28/08/2019","16:38:35","above water","veg","seaweed","brown algae","brown algae","brown algae",0.0293466206640005,0.0354100614786148,0.232198551297188,0.0556644424796104,0.104626320302486,6,6,0.0301773119717836,0.0371623747050762,0.2324298620224,0.0577351711690426,0.102340318262577,NA
6,59,"RTK",NA,59.19615832,10.57692788,0.613,"28/08/2019","16:38:35","above water","veg","seaweed","brown algae","brown algae","brown algae",0.0293466206640005,0.0354100614786148,0.232198551297188,0.0556644424796104,0.104626320302486,6,6,0.0293466206640005,0.0354100614786148,0.232198551297188,0.0556644424796104,0.104626320302486,NA
6,59,"RTK",NA,59.19615832,10.57692788,0.613,"28/08/2019","16:38:35","above water","veg","seaweed","brown algae","brown algae","brown algae",0.0293466206640005,0.0354100614786148,0.232198551297188,0.0556644424796104,0.104626320302486,6,6,0.0279004126787186,0.0335899107158184,0.228044047951698,0.0523453280329704,0.0986028090119362,NA
6,59,"RTK",NA,59.19615832,10.57692788,0.613,"28/08/2019","16:38:35","above water","veg","seaweed","brown algae","brown algae","brown algae",0.0293466206640005,0.0354100614786148,0.232198551297188,0.0556644424796104,0.104626320302486,6,6,0.030629588291049,0.0377971567213535,0.235999226570129,0.0581867210566998,0.105009064078331,NA
6,59,"RTK",NA,59.19615832,10.57692788,0.613,"28/08/2019","16:38:35","above water","veg","seaweed","brown algae","brown algae","brown algae",0.0293466206640005,0.0354100614786148,0.232198551297188,0.0556644424796104,0.104626320302486,6,6,0.0279615446925163,0.0358018428087234,0.222547188401222,0.0539352968335152,0.0982176586985588,NA
7,60,"RTK",NA,59.19661624,10.57737974,1.194,"28/08/2019","16:40:46","terrestrial ","no veg","rock","rock","rock","rock",0.0405322909355164,0.198597714304924,0.46066078543663,0.188125982880592,0.41199141740799,7,7,0.0451115295290947,0.19817490875721,0.441689729690552,0.192647531628609,0.387358337640762,NA
7,60,"RTK",NA,59.19661624,10.57737974,1.194,"28/08/2019","16:40:46","terrestrial ","no veg","rock","rock","rock","rock",0.0405322909355164,0.198597714304924,0.46066078543663,0.188125982880592,0.41199141740799,7,7,0.0405322909355164,0.198597714304924,0.46066078543663,0.188125982880592,0.41199141740799,NA
7,60,"RTK",NA,59.19661624,10.57737974,1.194,"28/08/2019","16:40:46","terrestrial ","no veg","rock","rock","rock","rock",0.0405322909355164,0.198597714304924,0.46066078543663,0.188125982880592,0.41199141740799,7,7,0.0444677174091339,0.193560019135475,0.403740733861923,0.175363913178444,0.341993927955627,NA
7,60,"RTK",NA,59.19661624,10.57737974,1.194,"28/08/2019","16:40:46","terrestrial ","no veg","rock","rock","rock","rock",0.0405322909355164,0.198597714304924,0.46066078543663,0.188125982880592,0.41199141740799,7,7,0.0419067926704884,0.198231846094131,0.432304888963699,0.171664193272591,0.363438099622726,NA
8,61,"RTK",NA,59.19667515,10.57768028,-0.408,"28/08/2019","16:42:51","below water","veg","seaweed","brown algae","bladder wrack","fucus vesiculosus",0.046239223331213,0.0621533282101154,0.18990695476532,0.0487636104226112,0.164103820919991,8,8,0.0459006279706955,0.0636330991983414,0.201967120170593,0.0475635640323162,0.163155898451805,NA
8,61,"RTK",NA,59.19667515,10.57768028,-0.408,"28/08/2019","16:42:51","below water","veg","seaweed","brown algae","bladder wrack","fucus vesiculosus",0.046239223331213,0.0621533282101154,0.18990695476532,0.0487636104226112,0.164103820919991,8,8,0.0456218644976616,0.0646058917045593,0.223465844988823,0.0481468364596367,0.175166711211205,NA
8,61,"RTK",NA,59.19667515,10.57768028,-0.408,"28/08/2019","16:42:51","below water","veg","seaweed","brown algae","bladder wrack","fucus vesiculosus",0.046239223331213,0.0621533282101154,0.18990695476532,0.0487636104226112,0.164103820919991,8,8,0.046239223331213,0.0621533282101154,0.18990695476532,0.0487636104226112,0.164103820919991,NA
8,61,"RTK",NA,59.19667515,10.57768028,-0.408,"28/08/2019","16:42:51","below water","veg","seaweed","brown algae","bladder wrack","fucus vesiculosus",0.046239223331213,0.0621533282101154,0.18990695476532,0.0487636104226112,0.164103820919991,8,8,0.0453467518091202,0.0630073100328445,0.214401066303253,0.0497126206755638,0.175075843930244,NA
9,62,"RTK",NA,59.19710864,10.57794224,2.804,"28/08/2019","16:45:44","terrestrial ","no veg","rock","rock","rock","rock",0.0421998836100101,0.190403416752815,0.477812558412552,0.145145297050476,0.388855993747711,9,9,0.0371313467621803,0.195886254310608,0.492247879505157,0.151815056800842,0.414123058319092,NA
9,62,"RTK",NA,59.19710864,10.57794224,2.804,"28/08/2019","16:45:44","terrestrial ","no veg","rock","rock","rock","rock",0.0421998836100101,0.190403416752815,0.477812558412552,0.145145297050476,0.388855993747711,9,9,0.0408100113272667,0.19109234213829,0.475420117378235,0.152857273817062,0.395400315523148,NA
9,62,"RTK",NA,59.19710864,10.57794224,2.804,"28/08/2019","16:45:44","terrestrial ","no veg","rock","rock","rock","rock",0.0421998836100101,0.190403416752815,0.477812558412552,0.145145297050476,0.388855993747711,9,9,0.0409226082265377,0.194590821862221,0.485846161842346,0.147604122757912,0.393476754426956,NA
9,62,"RTK",NA,59.19710864,10.57794224,2.804,"28/08/2019","16:45:44","terrestrial ","no veg","rock","rock","rock","rock",0.0421998836100101,0.190403416752815,0.477812558412552,0.145145297050476,0.388855993747711,9,9,0.0421998836100101,0.190403416752815,0.477812558412552,0.145145297050476,0.388855993747711,NA
9,62,"RTK",NA,59.19710864,10.57794224,2.804,"28/08/2019","16:45:44","terrestrial ","no veg","rock","rock","rock","rock",0.0421998836100101,0.190403416752815,0.477812558412552,0.145145297050476,0.388855993747711,9,9,0.0439596883952618,0.187623336911201,0.47539409995079,0.147015124559402,0.387045562267303,NA
10,63,"RTK",NA,59.19713993,10.57796047,2.719,"28/08/2019","16:46:26","terrestrial ","no veg","rock","rock","rock","rock",0.0365127995610237,0.192071199417114,0.458752244710922,0.174030795693398,0.373335957527161,10,10,0.0361274182796478,0.193373128771782,0.453174471855164,0.167832225561142,0.385467648506165,NA
10,63,"RTK",NA,59.19713993,10.57796047,2.719,"28/08/2019","16:46:26","terrestrial ","no veg","rock","rock","rock","rock",0.0365127995610237,0.192071199417114,0.458752244710922,0.174030795693398,0.373335957527161,10,10,0.037082951515913,0.186512216925621,0.446034491062164,0.16550387442112,0.368843078613281,NA
10,63,"RTK",NA,59.19713993,10.57796047,2.719,"28/08/2019","16:46:26","terrestrial ","no veg","rock","rock","rock","rock",0.0365127995610237,0.192071199417114,0.458752244710922,0.174030795693398,0.373335957527161,10,10,0.0345207415521145,0.191816002130508,0.464473456144333,0.167756408452988,0.386895954608917,NA
10,63,"RTK",NA,59.19713993,10.57796047,2.719,"28/08/2019","16:46:26","terrestrial ","no veg","rock","rock","rock","rock",0.0365127995610237,0.192071199417114,0.458752244710922,0.174030795693398,0.373335957527161,10,10,0.0365127995610237,0.192071199417114,0.458752244710922,0.174030795693398,0.373335957527161,NA
10,63,"RTK",NA,59.19713993,10.57796047,2.719,"28/08/2019","16:46:26","terrestrial ","no veg","rock","rock","rock","rock",0.0365127995610237,0.192071199417114,0.458752244710922,0.174030795693398,0.373335957527161,10,10,0.0382512807846069,0.180502265691757,0.42802956700325,0.167786374688148,0.365258604288101,NA
11,64,"RTK",NA,59.196905,10.57746924,3.803,"28/08/2019","16:49:49","terrestrial ","veg","Heather","Heather","Heather","Heather",0.0355274900794029,0.0612324327230453,0.278560370206833,0.0640301108360291,0.187306463718414,11,11,0.0320532433688641,0.0627565085887909,0.265180319547653,0.0612257830798626,0.179280146956444,NA
11,64,"RTK",NA,59.196905,10.57746924,3.803,"28/08/2019","16:49:49","terrestrial ","veg","Heather","Heather","Heather","Heather",0.0355274900794029,0.0612324327230453,0.278560370206833,0.0640301108360291,0.187306463718414,11,11,0.0344249941408634,0.0564720630645752,0.278004288673401,0.0690666288137436,0.181628197431564,NA
11,64,"RTK",NA,59.196905,10.57746924,3.803,"28/08/2019","16:49:49","terrestrial ","veg","Heather","Heather","Heather","Heather",0.0355274900794029,0.0612324327230453,0.278560370206833,0.0640301108360291,0.187306463718414,11,11,0.0355274900794029,0.0612324327230453,0.278560370206833,0.0640301108360291,0.187306463718414,NA
11,64,"RTK",NA,59.196905,10.57746924,3.803,"28/08/2019","16:49:49","terrestrial ","veg","Heather","Heather","Heather","Heather",0.0355274900794029,0.0612324327230453,0.278560370206833,0.0640301108360291,0.187306463718414,11,11,0.0437039062380791,0.0841657072305679,0.281666696071625,0.067780539393425,0.20710626244545,NA
11,64,"RTK",NA,59.196905,10.57746924,3.803,"28/08/2019","16:49:49","terrestrial ","veg","Heather","Heather","Heather","Heather",0.0355274900794029,0.0612324327230453,0.278560370206833,0.0640301108360291,0.187306463718414,11,11,0.0409825295209885,0.0656485632061958,0.272470057010651,0.070154070854187,0.188497439026833,NA
12,65,"RTK",NA,59.19683784,10.57722923,4.97,"28/08/2019","16:51:03","terrestrial ","veg","Heather","Heather","Heather","Heather",0.0368217602372169,0.0524765029549599,0.320540845394135,0.0730844885110855,0.197380498051643,12,12,0.033555656671524,0.0490726716816425,0.294981777667999,0.0671889781951904,0.180701419711113,NA
12,65,"RTK",NA,59.19683784,10.57722923,4.97,"28/08/2019","16:51:03","terrestrial ","veg","Heather","Heather","Heather","Heather",0.0368217602372169,0.0524765029549599,0.320540845394135,0.0730844885110855,0.197380498051643,12,12,0.0346661135554314,0.0504999160766602,0.311134189367294,0.0695382431149483,0.196856200695038,NA
12,65,"RTK",NA,59.19683784,10.57722923,4.97,"28/08/2019","16:51:03","terrestrial ","veg","Heather","Heather","Heather","Heather",0.0368217602372169,0.0524765029549599,0.320540845394135,0.0730844885110855,0.197380498051643,12,12,0.0368217602372169,0.0524765029549599,0.320540845394135,0.0730844885110855,0.197380498051643,NA
12,65,"RTK",NA,59.19683784,10.57722923,4.97,"28/08/2019","16:51:03","terrestrial ","veg","Heather","Heather","Heather","Heather",0.0368217602372169,0.0524765029549599,0.320540845394135,0.0730844885110855,0.197380498051643,12,12,0.040157575160265,0.0586729720234871,0.313217967748642,0.0793843865394592,0.199311807751656,NA
12,65,"RTK",NA,59.19683784,10.57722923,4.97,"28/08/2019","16:51:03","terrestrial ","veg","Heather","Heather","Heather","Heather",0.0368217602372169,0.0524765029549599,0.320540845394135,0.0730844885110855,0.197380498051643,12,12,0.0346551388502121,0.0527719520032406,0.327804535627365,0.0731458216905594,0.197804421186447,NA
13,66,"RTK",NA,59.1963841,10.57713215,1.018,"28/08/2019","16:53:22","terrestrial ","no veg","rock","rock","rock","rock",0.103778459131718,0.144227176904678,0.254366040229797,0.247054144740105,0.273382306098938,13,13,0.107623875141144,0.149527013301849,0.258284360170364,0.252350598573685,0.279823362827301,NA
13,66,"RTK",NA,59.1963841,10.57713215,1.018,"28/08/2019","16:53:22","terrestrial ","no veg","rock","rock","rock","rock",0.103778459131718,0.144227176904678,0.254366040229797,0.247054144740105,0.273382306098938,13,13,0.101276278495789,0.142839267849922,0.247856140136719,0.231956988573074,0.263857573270798,NA
13,66,"RTK",NA,59.1963841,10.57713215,1.018,"28/08/2019","16:53:22","terrestrial ","no veg","rock","rock","rock","rock",0.103778459131718,0.144227176904678,0.254366040229797,0.247054144740105,0.273382306098938,13,13,0.107944779098034,0.149700567126274,0.253328442573547,0.251785069704056,0.285862892866135,NA
13,66,"RTK",NA,59.1963841,10.57713215,1.018,"28/08/2019","16:53:22","terrestrial ","no veg","rock","rock","rock","rock",0.103778459131718,0.144227176904678,0.254366040229797,0.247054144740105,0.273382306098938,13,13,0.103778459131718,0.144227176904678,0.254366040229797,0.247054144740105,0.273382306098938,NA
14,67,"RTK",NA,59.19609575,10.57576272,-0.313,"28/08/2019","16:57:37","below water","veg","seaweed","brown algae","bladder wrack","fucus vesiculosus",0.0553490184247494,0.0668475478887558,0.136435568332672,0.0578421764075756,0.137184411287308,14,14,0.0559300370514393,0.0737875774502754,0.144714742898941,0.0594668537378311,0.147499337792397,NA
14,67,"RTK",NA,59.19609575,10.57576272,-0.313,"28/08/2019","16:57:37","below water","veg","seaweed","brown algae","bladder wrack","fucus vesiculosus",0.0553490184247494,0.0668475478887558,0.136435568332672,0.0578421764075756,0.137184411287308,14,14,0.0559978522360325,0.0691841021180153,0.138219907879829,0.0571253336966038,0.138160079717636,NA
14,67,"RTK",NA,59.19609575,10.57576272,-0.313,"28/08/2019","16:57:37","below water","veg","seaweed","brown algae","bladder wrack","fucus vesiculosus",0.0553490184247494,0.0668475478887558,0.136435568332672,0.0578421764075756,0.137184411287308,14,14,0.0537689216434956,0.0703574120998383,0.154520690441132,0.0613460913300514,0.147629410028458,NA
14,67,"RTK",NA,59.19609575,10.57576272,-0.313,"28/08/2019","16:57:37","below water","veg","seaweed","brown algae","bladder wrack","fucus vesiculosus",0.0553490184247494,0.0668475478887558,0.136435568332672,0.0578421764075756,0.137184411287308,14,14,0.0553490184247494,0.0668475478887558,0.136435568332672,0.0578421764075756,0.137184411287308,NA
15,68,"RTK",NA,59.19623802,10.57565552,-0.187,"28/08/2019","16:58:58","below water","veg","seaweed","brown algae","bladder wrack","fucus vesiculosus",0.0537567101418972,0.0755510404706001,0.17662850022316,0.0534491948783398,0.183995261788368,15,15,0.052378099411726,0.0787909775972366,0.193432494997978,0.0529562458395958,0.19350691139698,NA
15,68,"RTK",NA,59.19623802,10.57565552,-0.187,"28/08/2019","16:58:58","below water","veg","seaweed","brown algae","bladder wrack","fucus vesiculosus",0.0537567101418972,0.0755510404706001,0.17662850022316,0.0534491948783398,0.183995261788368,15,15,0.0537567101418972,0.0755510404706001,0.17662850022316,0.0534491948783398,0.183995261788368,NA
15,68,"RTK",NA,59.19623802,10.57565552,-0.187,"28/08/2019","16:58:58","below water","veg","seaweed","brown algae","bladder wrack","fucus vesiculosus",0.0537567101418972,0.0755510404706001,0.17662850022316,0.0534491948783398,0.183995261788368,15,15,0.0538752302527428,0.0759694278240204,0.153749346733093,0.0569932907819748,0.164672672748566,NA
15,68,"RTK",NA,59.19623802,10.57565552,-0.187,"28/08/2019","16:58:58","below water","veg","seaweed","brown algae","bladder wrack","fucus vesiculosus",0.0537567101418972,0.0755510404706001,0.17662850022316,0.0534491948783398,0.183995261788368,15,15,0.0524769462645054,0.0806839391589165,0.201144844293594,0.0549290888011456,0.201317995786667,NA
15,68,"RTK",NA,59.19623802,10.57565552,-0.187,"28/08/2019","16:58:58","below water","veg","seaweed","brown algae","bladder wrack","fucus vesiculosus",0.0537567101418972,0.0755510404706001,0.17662850022316,0.0534491948783398,0.183995261788368,15,15,0.0537234432995319,0.0768835544586182,0.185776188969612,0.0539075471460819,0.197548314929008,NA
16,69,"RTK",NA,59.19672652,10.57516876,-0.237,"28/08/2019","17:01:48","below water","veg","seaweed","brown algae","bladder wrack","fucus vesiculosus",0.0517245903611183,0.0781698003411293,0.147927090525627,0.054172795265913,0.178467407822609,16,16,0.0513933412730694,0.0795580744743347,0.136697486042976,0.0583461299538612,0.165842622518539,NA
16,69,"RTK",NA,59.19672652,10.57516876,-0.237,"28/08/2019","17:01:48","below water","veg","seaweed","brown algae","bladder wrack","fucus vesiculosus",0.0517245903611183,0.0781698003411293,0.147927090525627,0.054172795265913,0.178467407822609,16,16,0.0517245903611183,0.0781698003411293,0.147927090525627,0.054172795265913,0.178467407822609,NA
16,69,"RTK",NA,59.19672652,10.57516876,-0.237,"28/08/2019","17:01:48","below water","veg","seaweed","brown algae","bladder wrack","fucus vesiculosus",0.0517245903611183,0.0781698003411293,0.147927090525627,0.054172795265913,0.178467407822609,16,16,0.0523271039128304,0.0777179822325706,0.121430538594723,0.0594586953520775,0.150643646717072,NA
16,69,"RTK",NA,59.19672652,10.57516876,-0.237,"28/08/2019","17:01:48","below water","veg","seaweed","brown algae","bladder wrack","fucus vesiculosus",0.0517245903611183,0.0781698003411293,0.147927090525627,0.054172795265913,0.178467407822609,16,16,0.0514307282865047,0.0808225199580193,0.165042519569397,0.0546946562826633,0.186868190765381,NA
16,69,"RTK",NA,59.19672652,10.57516876,-0.237,"28/08/2019","17:01:48","below water","veg","seaweed","brown algae","bladder wrack","fucus vesiculosus",0.0517245903611183,0.0781698003411293,0.147927090525627,0.054172795265913,0.178467407822609,16,16,0.0515515133738518,0.075723260641098,0.1305061429739,0.0596295669674873,0.156228080391884,NA
17,70,"RTK",NA,59.19693451,10.57513162,0.454,"28/08/2019","17:03:29","above water","veg","seaweed","brown algae","brown algae","brown algae",0.0341681875288486,0.0432772152125835,0.299681395292282,0.0795038864016533,0.152558729052544,17,17,0.0386224985122681,0.0479327104985714,0.253353536128998,0.0772091224789619,0.13404968380928,NA
17,70,"RTK",NA,59.19693451,10.57513162,0.454,"28/08/2019","17:03:29","above water","veg","seaweed","brown algae","brown algae","brown algae",0.0341681875288486,0.0432772152125835,0.299681395292282,0.0795038864016533,0.152558729052544,17,17,0.0423661731183529,0.0491288267076015,0.260182976722717,0.0889492705464363,0.148653149604797,NA
17,70,"RTK",NA,59.19693451,10.57513162,0.454,"28/08/2019","17:03:29","above water","veg","seaweed","brown algae","brown algae","brown algae",0.0341681875288486,0.0432772152125835,0.299681395292282,0.0795038864016533,0.152558729052544,17,17,0.0327199585735798,0.0442724823951721,0.287935137748718,0.0727870911359787,0.137627571821213,NA
17,70,"RTK",NA,59.19693451,10.57513162,0.454,"28/08/2019","17:03:29","above water","veg","seaweed","brown algae","brown algae","brown algae",0.0341681875288486,0.0432772152125835,0.299681395292282,0.0795038864016533,0.152558729052544,17,17,0.0341681875288486,0.0432772152125835,0.299681395292282,0.0795038864016533,0.152558729052544,NA
17,70,"RTK",NA,59.19693451,10.57513162,0.454,"28/08/2019","17:03:29","above water","veg","seaweed","brown algae","brown algae","brown algae",0.0341681875288486,0.0432772152125835,0.299681395292282,0.0795038864016533,0.152558729052544,17,17,0.0284954756498337,0.0384684950113297,0.302107989788055,0.0695488899946213,0.141137301921844,NA
17,70,"RTK",NA,59.19693451,10.57513162,0.454,"28/08/2019","17:03:29","above water","veg","seaweed","brown algae","brown algae","brown algae",0.0341681875288486,0.0432772152125835,0.299681395292282,0.0795038864016533,0.152558729052544,17,17,0.0299946628510952,0.0403674803674221,0.307486891746521,0.0744487568736076,0.149561211466789,NA
18,71,"RTK",NA,59.19802723,10.57415997,0.1,"28/08/2019","17:09:18","above water","no veg","sand","sand","sand","sand",0.0761607959866524,0.105663895606995,0.148058116436005,0.12150115519762,0.127776831388474,18,18,0.0743249505758286,0.103779219090939,0.147985398769379,0.128392338752747,0.12921841442585,NA
18,71,"RTK",NA,59.19802723,10.57415997,0.1,"28/08/2019","17:09:18","above water","no veg","sand","sand","sand","sand",0.0761607959866524,0.105663895606995,0.148058116436005,0.12150115519762,0.127776831388474,18,18,0.0774683952331543,0.105419136583805,0.153084114193916,0.118585556745529,0.133447200059891,NA
