"X","ID","type","WP..RTK.GPS.","latitude","longitude","Atltitude..m.","date..GPS.","time..GPS.","Environ","Sp01","Sp02","Sp03","Sp04","Sp04_la","bolaerne.blue","bolaerne.green.","bolaerne.nir","bolaerne.red.","bolaerne.red.edge","IDpoint",".id","blue","green","nir","red","rededge","V1"
1,54,"RTK",NA,59.19577195,10.57609257,-0.194,"28/08/2019","16:29:51","below water","veg","seaweed","brown algae","bladder wrack","fucus vesiculosus",0.0494176670908928,0.0708176493644714,0.163384929299355,0.0475246831774712,0.176034063100815,1,1,0.0479329191148281,0.0689229145646095,0.168269619345665,0.0467217490077019,0.177625998854637,NA
1,54,"RTK",NA,59.19577195,10.57609257,-0.194,"28/08/2019","16:29:51","below water","veg","seaweed","brown algae","bladder wrack","fucus vesiculosus",0.0494176670908928,0.0708176493644714,0.163384929299355,0.0475246831774712,0.176034063100815,1,1,0.0494176670908928,0.0708176493644714,0.163384929299355,0.0475246831774712,0.176034063100815,NA
1,54,"RTK",NA,59.19577195,10.57609257,-0.194,"28/08/2019","16:29:51","below water","veg","seaweed","brown algae","bladder wrack","fucus vesiculosus",0.0494176670908928,0.0708176493644714,0.163384929299355,0.0475246831774712,0.176034063100815,1,1,0.0490544475615025,0.0677213743329048,0.150533929467201,0.049620121717453,0.166287884116173,NA
1,54,"RTK",NA,59.19577195,10.57609257,-0.194,"28/08/2019","16:29:51","below water","veg","seaweed","brown algae","bladder wrack","fucus vesiculosus",0.0494176670908928,0.0708176493644714,0.163384929299355,0.0475246831774712,0.176034063100815,1,1,0.048980824649334,0.0732995942234993,0.159713983535767,0.0484417527914047,0.18998821079731,NA
1,54,"RTK",NA,59.19577195,10.57609257,-0.194,"28/08/2019","16:29:51","below water","veg","seaweed","brown algae","bladder wrack","fucus vesiculosus",0.0494176670908928,0.0708176493644714,0.163384929299355,0.0475246831774712,0.176034063100815,1,1,0.0499279238283634,0.0697729513049126,0.153027519583702,0.0488066524267197,0.186028748750687,NA
2,55,"RTK",NA,59.19596998,10.57648974,1.202,"28/08/2019","16:31:28","terrestrial ","no veg","rock","rock","rock","rock",0.0519014969468117,0.213777959346771,0.47962811589241,0.209069103002548,0.47245317697525,2,2,0.0491448119282722,0.2157361805439,0.491497874259949,0.213900431990623,0.459579706192017,NA
2,55,"RTK",NA,59.19596998,10.57648974,1.202,"28/08/2019","16:31:28","terrestrial ","no veg","rock","rock","rock","rock",0.0519014969468117,0.213777959346771,0.47962811589241,0.209069103002548,0.47245317697525,2,2,0.0504618659615517,0.21255424618721,0.479030549526215,0.211878284811974,0.460401952266693,NA
2,55,"RTK",NA,59.19596998,10.57648974,1.202,"28/08/2019","16:31:28","terrestrial ","no veg","rock","rock","rock","rock",0.0519014969468117,0.213777959346771,0.47962811589241,0.209069103002548,0.47245317697525,2,2,0.0519014969468117,0.213777959346771,0.47962811589241,0.209069103002548,0.47245317697525,NA
2,55,"RTK",NA,59.19596998,10.57648974,1.202,"28/08/2019","16:31:28","terrestrial ","no veg","rock","rock","rock","rock",0.0519014969468117,0.213777959346771,0.47962811589241,0.209069103002548,0.47245317697525,2,2,0.0529020689427853,0.213630229234695,0.461398273706436,0.210263028740883,0.417715460062027,NA
3,56,"RTK",NA,59.19583767,10.5762081,0.824,"28/08/2019","16:34:02","terrestrial ","no veg","rock","rock","rock","rock",0.062968872487545,0.100182346999645,0.211643934249878,0.188472345471382,0.228016525506973,3,3,0.0615561679005623,0.098041370511055,0.215354010462761,0.184319823980331,0.227233618497849,NA
3,56,"RTK",NA,59.19583767,10.5762081,0.824,"28/08/2019","16:34:02","terrestrial ","no veg","rock","rock","rock","rock",0.062968872487545,0.100182346999645,0.211643934249878,0.188472345471382,0.228016525506973,3,3,0.062968872487545,0.100182346999645,0.211643934249878,0.188472345471382,0.228016525506973,NA
3,56,"RTK",NA,59.19583767,10.5762081,0.824,"28/08/2019","16:34:02","terrestrial ","no veg","rock","rock","rock","rock",0.062968872487545,0.100182346999645,0.211643934249878,0.188472345471382,0.228016525506973,3,3,0.0634475871920586,0.103100292384624,0.223026856780052,0.186264708638191,0.228630304336548,NA
3,56,"RTK",NA,59.19583767,10.5762081,0.824,"28/08/2019","16:34:02","terrestrial ","no veg","rock","rock","rock","rock",0.062968872487545,0.100182346999645,0.211643934249878,0.188472345471382,0.228016525506973,3,3,0.0642604306340218,0.105599202215672,0.217959716916084,0.186537265777588,0.232868701219559,NA
