"X","ID","type","WP..RTK.GPS.","latitude","longitude","Atltitude..m.","date..GPS.","time..GPS.","Environ","Sp01","Sp02","Sp03","Sp04","Sp04_la","akeroy.blue","akeroy.green","akeroy.nir.","akeroy.red.","akeroy.red.edge","IDpoint",".id","blue","green","nir","rededge","red","V1"
1,1,"RTK",20,59.05292888,10.88738281,-0.236,"27/08/2019","13:51:57","below water","no veg","sand","sand","sand","sand",0.0507574379444122,0.0669926777482033,0.0923967733979225,0.0613644495606422,0.0835977122187614,1,1,0.0437868423759937,0.0565319955348969,0.097626119852066,0.0832342058420181,0.0512372925877571,NA
1,1,"RTK",20,59.05292888,10.88738281,-0.236,"27/08/2019","13:51:57","below water","no veg","sand","sand","sand","sand",0.0507574379444122,0.0669926777482033,0.0923967733979225,0.0613644495606422,0.0835977122187614,1,1,0.0417957715690136,0.0562534853816032,0.114275760948658,0.0883592367172241,0.0501621961593628,NA
1,1,"RTK",20,59.05292888,10.88738281,-0.236,"27/08/2019","13:51:57","below water","no veg","sand","sand","sand","sand",0.0507574379444122,0.0669926777482033,0.0923967733979225,0.0613644495606422,0.0835977122187614,1,1,0.0466980673372746,0.0645345523953438,0.133195400238037,0.100294917821884,0.0547371506690979,NA
1,1,"RTK",20,59.05292888,10.88738281,-0.236,"27/08/2019","13:51:57","below water","no veg","sand","sand","sand","sand",0.0507574379444122,0.0669926777482033,0.0923967733979225,0.0613644495606422,0.0835977122187614,1,1,0.0566672757267952,0.0700324550271034,0.0858312174677849,0.0798631608486176,0.0667554810643196,NA
1,1,"RTK",20,59.05292888,10.88738281,-0.236,"27/08/2019","13:51:57","below water","no veg","sand","sand","sand","sand",0.0507574379444122,0.0669926777482033,0.0923967733979225,0.0613644495606422,0.0835977122187614,1,1,0.0507574379444122,0.0669926777482033,0.0923967733979225,0.0835977122187614,0.0613644495606422,NA
1,1,"RTK",20,59.05292888,10.88738281,-0.236,"27/08/2019","13:51:57","below water","no veg","sand","sand","sand","sand",0.0507574379444122,0.0669926777482033,0.0923967733979225,0.0613644495606422,0.0835977122187614,1,1,0.0487138107419014,0.0653103366494179,0.102506287395954,0.0905157774686813,0.0600790902972221,NA
1,1,"RTK",20,59.05292888,10.88738281,-0.236,"27/08/2019","13:51:57","below water","no veg","sand","sand","sand","sand",0.0507574379444122,0.0669926777482033,0.0923967733979225,0.0613644495606422,0.0835977122187614,1,1,0.0564431548118591,0.0742754712700844,0.119451656937599,0.101133078336716,0.0688706189393997,NA
1,1,"RTK",20,59.05292888,10.88738281,-0.236,"27/08/2019","13:51:57","below water","no veg","sand","sand","sand","sand",0.0507574379444122,0.0669926777482033,0.0923967733979225,0.0613644495606422,0.0835977122187614,1,1,0.0622408427298069,0.0763816013932228,0.0835606828331947,0.0837972611188889,0.074248768389225,NA
1,1,"RTK",20,59.05292888,10.88738281,-0.236,"27/08/2019","13:51:57","below water","no veg","sand","sand","sand","sand",0.0507574379444122,0.0669926777482033,0.0923967733979225,0.0613644495606422,0.0835977122187614,1,1,0.0574759766459465,0.0725691467523575,0.0846407562494278,0.0847962722182274,0.0681077688932419,NA
1,1,"RTK",20,59.05292888,10.88738281,-0.236,"27/08/2019","13:51:57","below water","no veg","sand","sand","sand","sand",0.0507574379444122,0.0669926777482033,0.0923967733979225,0.0613644495606422,0.0835977122187614,1,1,0.0508532449603081,0.0656764656305313,0.0869444012641907,0.0808844640851021,0.0633388534188271,NA
1,1,"RTK",20,59.05292888,10.88738281,-0.236,"27/08/2019","13:51:57","below water","no veg","sand","sand","sand","sand",0.0507574379444122,0.0669926777482033,0.0923967733979225,0.0613644495606422,0.0835977122187614,1,1,0.0509235821664333,0.0660094693303108,0.0966440960764885,0.0851003080606461,0.064358226954937,NA
1,1,"RTK",20,59.05292888,10.88738281,-0.236,"27/08/2019","13:51:57","below water","no veg","sand","sand","sand","sand",0.0507574379444122,0.0669926777482033,0.0923967733979225,0.0613644495606422,0.0835977122187614,1,1,0.0667925998568535,0.0792395249009132,0.0867861285805702,0.0861921384930611,0.0790729150176048,NA
1,1,"RTK",20,59.05292888,10.88738281,-0.236,"27/08/2019","13:51:57","below water","no veg","sand","sand","sand","sand",0.0507574379444122,0.0669926777482033,0.0923967733979225,0.0613644495606422,0.0835977122187614,1,1,0.0638708993792534,0.0763102620840073,0.0851775854825974,0.0844768807291985,0.0758099555969238,NA
